color light,
l.e.d.,
light,,Eleedi
light emitting diode,
hall sensor,
tilt sensor,
piezo,
flex sensor,
hall effect sensor,
wind sensor,
anemometer,
temperature sensor,
servo motor,,Servo,motor
button,,Switch
potentiometer,
photo resistor,,Photo cell,Light dependent resistor,Photo conductive cell
rotary encoder,
board,
task,
